Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability
R024,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,68,Medium,U434,Gluten-Free,4,Feedback 24,2024-06-05,Summer,Party,6,678,None,14.35,128,Yes
R025,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,63,Medium,U825,None,3,Feedback 25,2024-08-05,Spring,Dinner,4,258,None,18.37,240,No
R026,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,34,Medium,U271,None,3,Feedback 26,2024-10-17,Fall,Lunch,5,475,None,6.8,436,No
R027,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,32,Easy,U994,Vegan,5,Feedback 27,2024-03-08,Winter,Party,2,510,Soy,7.47,131,No
R028,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,26,Hard,U583,Vegetarian,3,Feedback 28,2024-12-13,Summer,Lunch,1,477,Dairy,17.46,324,No
R029,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,76,Easy,U796,None,5,Feedback 29,2024-10-28,Summer,Casual,6,388,Gluten,17.65,250,Yes
R030,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,24,Hard,U413,Vegetarian,3,Feedback 30,2024-04-03,Summer,Party,4,767,Dairy,11.74,287,No
R031,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,70,Medium,U664,Gluten-Free,5,Feedback 31,2024-10-27,Fall,Casual,4,569,None,14.9,445,No
R032,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,80,Easy,U951,None,1,Feedback 32,2024-06-01,Summer,Casual,3,609,Gluten,6.18,77,No
R033,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,62,Medium,U798,None,2,Feedback 33,2024-09-13,Fall,Lunch,1,377,None,17.8,89,Yes
R034,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,51,Easy,U469,None,2,Feedback 34,2024-12-20,Spring,Dinner,1,300,Gluten,11.81,136,No
R035,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,90,Medium,U171,Gluten-Free,5,Feedback 35,2024-04-24,Summer,Dinner,4,302,None,8.38,69,Yes
R036,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,73,Hard,U437,Vegetarian,1,Feedback 36,2024-01-03,Fall,Dinner,4,433,Dairy,10.49,435,Yes
R037,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,69,Medium,U763,Gluten-Free,4,Feedback 37,2024-03-17,Fall,Lunch,5,227,None,12.18,371,Yes
R038,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,33,Hard,U485,Vegetarian,3,Feedback 38,2024-08-02,Summer,Lunch,1,321,Dairy,11.93,432,No
R039,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,76,Hard,U388,Vegetarian,5,Feedback 39,2024-04-11,Spring,Dinner,2,400,Dairy,17.59,463,No
R040,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,23,Hard,U458,Vegetarian,4,Feedback 40,2024-05-01,Winter,Lunch,3,267,Dairy,15.41,192,Yes
R041,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,48,Medium,U227,None,3,Feedback 41,2024-10-31,Fall,Party,3,706,None,7.17,106,Yes
R042,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,70,Medium,U443,Gluten-Free,3,Feedback 42,2024-10-30,Spring,Party,2,450,None,12.77,476,No
R043,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,41,Medium,U916,Gluten-Free,4,Feedback 43,2024-05-17,Fall,Party,2,653,None,12.7,472,No
R044,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,75,Easy,U402,None,4,Feedback 44,2024-09-19,Fall,Casual,5,567,Gluten,11.48,119,Yes
R045,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,32,Medium,U399,Gluten-Free,3,Feedback 45,2024-08-15,Summer,Party,5,609,None,10.55,176,No
R046,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,66,Hard,U840,Vegetarian,1,Feedback 46,2024-03-10,Spring,Dinner,2,740,Dairy,16.67,226,No
R047,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,39,Hard,U328,Vegetarian,5,Feedback 47,2024-10-07,Spring,Party,3,483,Dairy,17.84,102,Yes
R048,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,88,Medium,U266,None,4,Feedback 48,2024-08-02,Spring,Party,4,476,None,7.58,80,Yes
R049,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,28,Medium,U699,Gluten-Free,5,Feedback 49,2024-10-15,Spring,Party,1,712,None,8.37,417,No
R050,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,83,Hard,U977,Vegetarian,2,Feedback 50,2024-06-09,Spring,Casual,4,385,Dairy,13.32,370,Yes
R051,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,27,Medium,U144,None,5,Feedback 51,2024-04-06,Spring,Casual,5,401,None,17.05,138,No
R052,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,67,Medium,U324,Gluten-Free,1,Feedback 52,2024-02-07,Winter,Casual,1,547,None,11.24,376,No
R053,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,76,Medium,U516,Gluten-Free,3,Feedback 53,2024-09-16,Summer,Casual,1,485,None,18.71,85,No
R054,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,30,Easy,U379,None,2,Feedback 54,2024-11-01,Summer,Lunch,3,604,Gluten,15.2,369,Yes
R055,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,22,Easy,U605,Vegan,4,Feedback 55,2024-07-20,Winter,Party,5,336,Soy,5.35,204,No
R056,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,86,Medium,U205,None,4,Feedback 56,2024-06-11,Fall,Casual,6,772,None,14.17,435,No
R057,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,71,Medium,U971,None,1,Feedback 57,2024-01-07,Fall,Casual,6,549,None,8.29,239,Yes
R058,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,50,Medium,U198,Gluten-Free,2,Feedback 58,2024-06-12,Winter,Lunch,3,704,None,18.62,226,Yes
R059,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,18,Hard,U838,Vegetarian,5,Feedback 59,2024-08-20,Winter,Casual,4,278,Dairy,13.69,100,No
R060,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,31,Medium,U897,None,3,Feedback 60,2024-02-16,Summer,Party,4,533,None,9.11,279,Yes
R061,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,33,Medium,U310,Gluten-Free,1,Feedback 61,2024-02-24,Spring,Dinner,2,450,None,10.45,193,No
R062,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,89,Hard,U983,Vegetarian,1,Feedback 62,2024-03-12,Spring,Casual,5,247,Dairy,18.22,354,No
R063,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,89,Medium,U420,None,3,Feedback 63,2024-09-23,Summer,Party,5,432,None,11.37,141,No
R064,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,26,Hard,U656,Vegetarian,1,Feedback 64,2024-04-12,Winter,Lunch,6,537,Dairy,11.65,253,No
R065,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,32,Easy,U297,None,2,Feedback 65,2024-10-12,Spring,Party,6,520,Gluten,17.66,372,No
R066,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,90,Medium,U358,Gluten-Free,2,Feedback 66,2024-08-29,Winter,Casual,3,360,None,8.91,191,Yes
R067,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,54,Easy,U322,None,1,Feedback 67,2024-11-06,Fall,Lunch,2,514,Gluten,11.39,137,Yes
R068,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,69,Hard,U238,Vegetarian,4,Feedback 68,2024-01-06,Fall,Casual,5,512,Dairy,15.29,343,Yes
R069,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,88,Medium,U561,None,1,Feedback 69,2024-10-27,Spring,Casual,2,451,None,16.41,276,No
R070,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,55,Hard,U959,Vegetarian,1,Feedback 70,2024-01-21,Fall,Party,3,660,Dairy,7.36,110,Yes
R071,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,72,Hard,U832,Vegetarian,1,Feedback 71,2024-04-05,Spring,Dinner,1,356,Dairy,17.79,320,No
R072,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,85,Medium,U656,Gluten-Free,1,Feedback 72,2024-06-04,Winter,Party,3,234,None,12.31,352,Yes
R073,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,19,Medium,U748,None,4,Feedback 73,2024-02-22,Summer,Party,3,798,None,19.89,272,Yes
R074,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,46,Easy,U173,None,3,Feedback 74,2024-08-21,Fall,Party,4,525,Gluten,16.28,204,Yes
R075,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,62,Easy,U575,None,5,Feedback 75,2024-09-11,Fall,Casual,2,733,Gluten,11.53,341,No
R076,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,65,Hard,U779,Vegetarian,4,Feedback 76,2024-05-09,Fall,Casual,4,647,Dairy,18.97,373,Yes
R077,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,29,Medium,U527,Gluten-Free,4,Feedback 77,2024-05-19,Summer,Party,4,788,None,19.77,57,Yes
R078,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,90,Hard,U285,Vegetarian,5,Feedback 78,2024-12-01,Fall,Lunch,4,382,Dairy,7.3,230,Yes
R079,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,67,Medium,U829,Gluten-Free,1,Feedback 79,2024-04-15,Spring,Dinner,4,368,None,8.34,271,No
R080,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,54,Hard,U530,Vegetarian,3,Feedback 80,2024-08-02,Winter,Casual,4,472,Dairy,15.65,179,No
R081,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,28,Easy,U251,None,5,Feedback 81,2024-10-10,Winter,Lunch,1,560,Gluten,15.31,488,No
R082,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,77,Easy,U929,None,4,Feedback 82,2024-04-27,Spring,Party,1,271,Gluten,17.16,490,Yes
R083,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,77,Medium,U472,None,3,Feedback 83,2024-08-31,Winter,Casual,6,424,None,15.66,413,Yes
R084,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,75,Easy,U183,Vegan,2,Feedback 84,2024-10-12,Winter,Lunch,1,479,Soy,17.2,364,No
R085,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,85,Easy,U976,Vegan,5,Feedback 85,2024-07-07,Summer,Lunch,2,783,Soy,7.95,239,No
R086,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,25,Medium,U394,Gluten-Free,3,Feedback 86,2024-05-19,Fall,Lunch,1,246,None,19.76,244,Yes
R087,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,18,Hard,U894,Vegetarian,1,Feedback 87,2024-07-14,Summer,Dinner,3,700,Dairy,17.13,251,No
R088,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,58,Medium,U550,Gluten-Free,4,Feedback 88,2024-02-01,Summer,Party,5,540,None,14.18,426,No
R089,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,74,Easy,U499,None,2,Feedback 89,2024-05-16,Winter,Casual,2,479,Gluten,15.97,331,Yes
R090,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,87,Medium,U532,None,3,Feedback 90,2024-12-08,Spring,Dinner,5,415,None,6.08,431,No
R091,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,72,Medium,U840,Gluten-Free,4,Feedback 91,2024-10-04,Winter,Lunch,4,395,None,17.19,260,No
R092,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,54,Medium,U492,None,4,Feedback 92,2024-07-07,Summer,Lunch,6,486,None,7.96,262,No
R093,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,85,Easy,U107,Vegan,5,Feedback 93,2024-02-02,Winter,Dinner,3,528,Soy,18.73,206,No
R094,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,51,Easy,U946,Vegan,2,Feedback 94,2024-11-09,Fall,Dinner,6,352,Soy,5.96,452,No
R095,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,61,Medium,U972,Gluten-Free,1,Feedback 95,2024-03-06,Winter,Party,2,528,None,8.29,345,No
R096,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,77,Medium,U155,None,4,Feedback 96,2024-01-12,Spring,Casual,5,551,None,12.74,51,No
R097,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,88,Easy,U295,None,3,Feedback 97,2024-08-09,Winter,Dinner,5,256,Gluten,5.13,122,No
R098,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,41,Medium,U603,None,4,Feedback 98,2024-04-11,Spring,Dinner,4,364,None,9.39,421,Yes
R099,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,27,Hard,U286,Vegetarian,1,Feedback 99,2024-07-21,Winter,Party,6,344,Dairy,16.73,490,No
R100,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,68,Medium,U348,Gluten-Free,1,Feedback 100,2024-06-02,Spring,Dinner,1,612,None,14.4,372,No
R101,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,70,Easy,U532,Vegan,5,Feedback 101,2024-12-24,Summer,Lunch,6,509,Soy,17.49,291,No
R102,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,28,Hard,U368,Vegetarian,3,Feedback 102,2024-09-07,Summer,Dinner,5,785,Dairy,19.77,291,Yes
R103,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,73,Medium,U722,None,3,Feedback 103,2024-09-10,Spring,Party,1,266,None,19.31,372,Yes
R104,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,18,Easy,U784,None,5,Feedback 104,2024-05-03,Fall,Lunch,2,595,Gluten,18.69,392,Yes
R105,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,44,Easy,U972,Vegan,3,Feedback 105,2024-09-07,Winter,Dinner,5,742,Soy,13.32,361,Yes
R106,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,38,Easy,U108,None,4,Feedback 106,2024-10-01,Fall,Party,6,705,Gluten,8.7,136,Yes
R107,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,37,Medium,U520,None,5,Feedback 107,2024-12-04,Spring,Casual,3,713,None,15.45,277,No
